sigma,T,seed,gas_cost,slippage_coeff,optimal_width,best_score,mean_objective,std_objective,mean_n_rebalances,mean_lp_minus_hodl,prob_underperform_hodl
0.6,1.0,42,1.0,0.00025,0.14,6.684882161564362,0.17959413540528235,0.026865714468069943,13.13,129.11569913381302,0.37
0.6,1.0,42,2.0,0.0005,0.2,4.906522608174286,0.13896332161307218,0.028322160664573062,6.38,88.48488534160282,0.39
0.6,1.0,42,5.0,0.001,0.3,2.760516143569756,0.09471677368777734,0.03431125512828718,2.8,44.23833741630797,0.42
0.6,1.0,123,1.0,0.00025,0.12,7.240695265182732,0.18124079111006755,0.025030854700041516,17.59,64.50896619076892,0.29
0.6,1.0,123,2.0,0.0005,0.22,4.9868612287558225,0.12377105266171759,0.024819429894703,6.05,7.039227742419012,0.35
0.6,1.0,123,5.0,0.001,0.24,2.847859800822941,0.0935799646166482,0.032859751238318184,4.93,-23.151860302650412,0.36
0.6,1.0,999,1.0,0.00025,0.18,7.353974608521887,0.15770585813577995,0.021444982683653576,8.49,173.37484166369154,0.3
0.6,1.0,999,2.0,0.0005,0.18,5.124880249650588,0.13496976898381685,0.026336180048893633,8.49,150.63875251172843,0.32
0.6,1.0,999,5.0,0.001,0.26,2.603447264010307,0.08542278101659574,0.032811412083305236,4.4,101.09176454450736,0.32
0.6,2.0,42,1.0,0.00025,0.14,8.76961749152265,0.3902235229238904,0.04449721134372267,26.83,371.14451163431823,0.21
0.6,2.0,42,2.0,0.0005,0.22,6.599437562099581,0.27240123567259716,0.041276431985202984,11.5,253.32222438302514,0.25
0.6,2.0,42,5.0,0.001,0.22,3.7047917759911613,0.2005702841171078,0.05413807205492629,11.5,181.49127282753577,0.31
0.6,2.0,123,1.0,0.00025,0.18,9.265393415384857,0.3448995959025861,0.03722449554380417,17.09,69.07515555460697,0.29
0.6,2.0,123,2.0,0.0005,0.2,6.879466595664662,0.2830684731846115,0.04114686353197747,14.12,7.244032836632312,0.3
0.6,2.0,123,5.0,0.001,0.28,3.5322197868894607,0.18208720646657905,0.05155036137400965,7.62,-93.73723388140013,0.33
0.6,2.0,999,1.0,0.00025,0.18,9.124268593490275,0.34188987904829105,0.03747038741189765,17.11,262.5737525494179,0.26
0.6,2.0,999,2.0,0.0005,0.18,6.4328446000650965,0.29043535177768265,0.04514882137441088,17.11,211.1192252788096,0.26
0.6,2.0,999,5.0,0.001,0.26,3.5704020740396993,0.1808890910299316,0.050663507156566895,8.88,101.57296453105857,0.3
